scheme_name,Alpha,Beta
ABSL Frontline Equity Fund - Regular - Growth,0.19810546355630718,0.024165983269310545
ABSL Liquid Fund - Regular - Growth,0.0608604735297941,-0.00044880491576632195
ABSL Small Cap Fund - Regular - Growth,0.09084991469637617,0.07192005438106905
Axis Bluechip Fund - Direct - Growth,0.08747503131238947,0.016649483362592046
Axis Bluechip Fund - Regular - Growth,0.03444856078454065,-0.022620577973645445
Axis Midcap Fund - Regular - Growth,0.2334643931558578,-0.016865756039378132
Axis Small Cap Fund - Regular - Growth,0.08285414014898179,0.04954850441094775
DSP Midcap Fund - Regular - Growth,0.2694221849440246,-0.01375271933191066
DSP Small Cap Fund - Regular - Growth,0.3079384416988776,-0.046858747376206315
DSP Top 100 Equity Fund - Regular - Growth,0.12181361773358712,0.023567148078164193
HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.11735554577591875,0.0057084187117120745
HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.25123474482950914,0.0039027459850477716
HDFC Short Term Debt Fund - Regular - Growth,0.048140512500343284,-0.008452636499556557
HDFC Top 100 Fund - Direct Plan - Growth,0.17598149060618626,0.02542896458688184
HDFC Top 100 Fund - Regular Plan - Growth,0.0408430001813768,0.036343489089746626
ICICI Pru Bluechip Fund - Direct - Growth,0.21764320106471655,-0.005350942171192667
ICICI Pru Bluechip Fund - Regular - Growth,0.1839727070412178,0.011096152845023615
ICICI Pru Liquid Fund - Regular - Growth,0.06751107174722926,-0.0015126406893188544
ICICI Pru Midcap Fund - Regular - Growth,0.29233068870781187,0.04629587454955585
ICICI Pru Value Discovery Fund - Regular - Growth,0.16141808986791975,0.007397809885328404
Kotak Bluechip Fund - Regular - Growth,0.06657717900539276,0.038384410594715486
Kotak Emerging Equity Fund - Regular - Growth,0.026551638919528754,-0.06450597057977223
Kotak Flexicap Fund - Regular - Growth,0.23073699765118405,-0.030999966207617777
Kotak Liquid Fund - Regular - Growth,0.06424138053133448,0.0010012054436681205
Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.22547072837777118,0.0013639116991243298
Mirae Asset Large Cap Fund - Regular - Growth,0.256900317952602,0.013782257659209204
Mirae Asset Tax Saver Fund - Regular - Growth,0.27287628077020387,-0.0056260509537837755
Nippon India ETF Nifty 50 BeES,0.11271542585142613,0.011327308796493369
Nippon India Gilt Securities Fund - Regular - Growth,0.06267188633044554,-0.009715291976966797
Nippon India Large Cap Fund - Direct - Growth,0.16661892360885075,-0.012151996377388627
Nippon India Large Cap Fund - Regular - Growth,0.2035583105626511,0.016251310579334537
Nippon India Small Cap Fund - Regular - Growth,0.17539916166232253,-0.022788061942728453
SBI Bluechip Fund - Direct Plan - Growth,0.18987484831510912,0.020106163140798588
SBI Bluechip Fund - Regular Plan - Growth,0.20916992825523775,0.022262255013561074
SBI Magnum Gilt Fund - Regular Plan - Growth,0.05927579900189231,0.007003320437138432
SBI Small Cap Fund - Direct Plan - Growth,0.03104317276096428,0.04507870076765986
SBI Small Cap Fund - Regular Plan - Growth,0.29880359027682163,-0.07351852211870333
UTI Flexi Cap Fund - Regular - Growth,0.12825771896125537,0.024830645105560028
UTI Mid Cap Fund - Regular - Growth,0.004210905621985717,0.023671514362242106
UTI Nifty 50 Index Fund - Regular - Growth,0.16066479006857526,0.008217379412853434
