scheme_name,CAGR_1yr,CAGR_3yr,CAGR_5yr,Sharpe_Ratio,Sortino_Ratio,Alpha,Beta,Max_Drawdown,Worst_DD_Date,expense_ratio_pct,Composite_Score
Mirae Asset Large Cap Fund - Regular - Growth,0.044588680176518514,0.25127469643415923,0.18323272098955767,1.0682238272314735,1.5548206252732872,0.256900317952602,0.013782257659209204,-0.11265729075028275,2023-10-20,1.46,86.75
Kotak Flexicap Fund - Regular - Growth,0.2505703573524387,0.2166999341232414,0.2292806104426337,0.965560651744012,1.4859046726602738,0.23073699765118405,-0.030999966207617777,-0.1297396816518679,2022-04-13,1.45,80.75
HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.35724198361105297,0.24407712694865258,0.23105606605005735,0.8082678003905593,1.1844238425713376,0.25123474482950914,0.0039027459850477716,-0.16217208574644848,2022-05-12,1.38,80.25
SBI Bluechip Fund - Regular Plan - Growth,0.32866720944614225,0.2856016945105937,0.19512942058495808,0.8609773262277757,1.302472683369487,0.20916992825523775,0.022262255013561074,-0.1501238549864533,2024-02-05,1.54,76.9375
ICICI Pru Midcap Fund - Regular - Growth,0.2748332876783839,0.1572230933233587,0.1810594011394009,0.8832556184698839,1.3210875599083434,0.29233068870781187,0.04629587454955585,-0.18188513572116294,2025-01-23,1.36,76.875
DSP Midcap Fund - Regular - Growth,0.11010465604482333,0.24693333598123646,0.23444158873417997,0.8328852279505965,1.2018053129464412,0.2694221849440246,-0.01375271933191066,-0.17248105753451382,2022-10-24,1.61,74.25
Axis Midcap Fund - Regular - Growth,0.21259874836943626,0.2129444205806197,0.23485824409732237,0.7305467735561728,1.091545782522434,0.2334643931558578,-0.016865756039378132,-0.20960883862039192,2022-08-11,1.38,74.25
Mirae Asset Tax Saver Fund - Regular - Growth,0.40286907598243227,0.20890367973052104,0.18828604178242836,0.9190465356358284,1.3870284683531984,0.27287628077020387,-0.0056260509537837755,-0.1639674294693263,2023-10-20,1.6,73.6875
SBI Small Cap Fund - Regular Plan - Growth,0.39919172191468943,0.1893418846260404,0.1793077552049367,0.7116901743847246,1.0670590363795414,0.29880359027682163,-0.07351852211870333,-0.2870600572176455,2025-05-14,1.43,69.75
ABSL Frontline Equity Fund - Regular - Growth,0.3751661842669647,0.22397738480380092,0.1742773080339386,0.7174089959890172,1.078795438770733,0.19810546355630718,0.024165983269310545,-0.11291596329323073,2023-07-05,1.6,69.5625
ICICI Pru Bluechip Fund - Direct - Growth,0.17131375603555865,0.13177354360397864,0.17339678265758596,0.7146822636441237,1.062788742685408,0.21764320106471655,-0.005350942171192667,-0.12588275606922517,2023-05-30,0.8,69.125
DSP Small Cap Fund - Regular - Growth,0.38616771101626135,0.17045551126002367,0.21546670526822598,0.7144216579881012,1.055416940095187,0.3079384416988776,-0.046858747376206315,-0.31171900300634214,2025-01-03,1.52,67.0625
Nippon India Large Cap Fund - Regular - Growth,0.18211611438005293,0.13180371331935214,0.1722179620870714,0.7588510310771439,1.121481977276689,0.2035583105626511,0.016251310579334537,-0.17414075086657232,2024-07-19,1.51,63.3125
HDFC Top 100 Fund - Direct Plan - Growth,0.2959273093332675,0.1492634581454797,0.13345586655067976,0.5062729716095956,0.750384912311708,0.17598149060618626,0.02542896458688184,-0.15200013055606398,2025-01-01,0.92,62.5
Nippon India Large Cap Fund - Direct - Growth,0.16708053404818357,0.16725779765765947,0.11143462126399317,0.38882884600017426,0.5913204195362824,0.16661892360885075,-0.012151996377388627,-0.18629743138595511,2024-02-29,0.72,62.3125
